=== ICICI PAGE STRUCTURE ===
Title: FD Interest Rates - Check Latest Fixed Deposit Rates | ICICI Bank

=== BUTTONS AND LINKS ===
Btn 321: tag=A, id=None, class=None, text=OPEN FIXED DEPOSIT
Btn 322: tag=A, id=None, class=None, text=VIEW INTEREST RATES
Btn 323: tag=A, id=None, class=None, text=FIXED DEPOSIT DETAILS
Btn 324: tag=BUTTON, id=None, class=point, text=10k
Btn 325: tag=BUTTON, id=None, class=point, text=25L
Btn 326: tag=BUTTON, id=None, class=point, text=50L
Btn 327: tag=BUTTON, id=None, class=point, text=75L
Btn 328: tag=BUTTON, id=None, class=point, text=1Cr
Btn 329: tag=BUTTON, id=None, class=point, text=500Cr
Btn 330: tag=BUTTON, id=None, class=amount-list-btn, text=1L
Btn 331: tag=BUTTON, id=None, class=amount-list-btn, text=3L
Btn 332: tag=BUTTON, id=None, class=amount-list-btn active, text=5L
Btn 333: tag=BUTTON, id=None, class=amount-list-btn, text=10L
Btn 334: tag=BUTTON, id=None, class=amount-list-btn, text=25L
Btn 335: tag=BUTTON, id=None, class=amount-list-btn, text=50L
Btn 336: tag=BUTTON, id=None, class=amount-list-btn, text=1Cr
Btn 337: tag=BUTTON, id=None, class=amount-list-btn, text=2Cr
Btn 338: tag=BUTTON, id=None, class=amount-list-btn, text=3Cr
Btn 339: tag=BUTTON, id=None, class=card-interest-button , text=6.45%
For tenure of 2Y 1D to 3Y
Btn 340: tag=BUTTON, id=None, class=card-interest-button active-card, text=6.50%
For tenure of 3Y 1D to 5Y
Btn 341: tag=BUTTON, id=None, class=card-interest-button , text=6.50%
For tenure of 5Y 1D to 10Y
Btn 342: tag=BUTTON, id=None, class=calendar-button, text=***Add DateAdd Date
Btn 343: tag=A, id=None, class=button-btn button-btn-primary button-btn-small btn-detail white, text=GET STARTED
Btn 344: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium active, text=Popular FD Rates
Btn 345: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=Less than ₹3 Cr.
Btn 346: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=3 - < 5 Cr.
Btn 347: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=5 - < 5.10 Cr.
Btn 348: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=5.10 - < 24.90 Cr.
Btn 349: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=24.90 - < 25 Cr.
Btn 350: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=25 - < 100 Cr.
Btn 351: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=100 - < 250 Cr.
Btn 352: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=250 - < 500 Cr.
Btn 353: tag=BUTTON, id=None, class=button-btn button-btn-secondary button-btn-medium , text=More than 500 Cr.
Btn 354: tag=A, id=None, class=None, text=Tax Deducted at Source
Btn 355: tag=A, id=None, class=None, text=T&C
Btn 356: tag=A, id=None, class=None, text=Term Deposit
Btn 357: tag=A, id=None, class=None, text=NRO FDs
Btn 361: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=VIEW ALL FAQ’S
Btn 362: tag=BUTTON, id=tab-1, class=None, text=Blogs
Btn 363: tag=BUTTON, id=tab-2, class=None, text=Videos
Btn 365: tag=A, id=None, class=None, text=How is Fixed Deposit (FD) Interest Calculated?
Btn 366: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 368: tag=A, id=None, class=None, text=Tax Saver FD vs Normal FD: Which Is Better for Investment
Btn 369: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 371: tag=A, id=None, class=None, text=Advantages of Overdraft Against Fixed Deposit - ICICI Bank
Btn 372: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 374: tag=A, id=None, class=None, text=Differences Between Cumulative Interest and Quarterly Interest Payouts
Btn 375: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 377: tag=A, id=None, class=None, text=Is FD the Right Investment Option for You?
Btn 378: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 379: tag=A, id=None, class=None, text=Not liking anything

Explore More Blogs
Btn 380: tag=A, id=None, class=None, text=Explore More Blogs
Btn 381: tag=BUTTON, id=None, class=swiper-pagination-bullet swiper-pagination-bullet-active, text=Slide 1
Btn 382: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 2
Btn 383: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 3
Btn 384: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 4
Btn 385: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 5
Btn 386: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 6
Btn 387: tag=BUTTON, id=None, class=swiper-pagination-bullet, text=Slide 7
Btn 388: tag=A, id=None, class=None, text=How is Fixed Deposit (FD) Interest Calculated?
Btn 389: tag=A, id=None, class=button-cta button-cta--small button-cta--primary dark-btn-xl, text=READ NOW
Btn 390: tag=BUTTON, id=None, class=swipe-button-prev swiper-button-disabled, text=goto previous card
Btn 391: tag=BUTTON, id=None, class=swipe-button-next, text=goto next card
Btn 392: tag=BUTTON, id=None, class=swipe-button-prev, text=goto previous card
Btn 393: tag=BUTTON, id=None, class=swipe-button-next, text=goto next card
Btn 394: tag=BUTTON, id=None, class=close-icon, text=Close
Btn 395: tag=BUTTON, id=None, class=close-icon, text=close exit intent modal
Btn 396: tag=A, id=None, class=None, text=Apply now
Btn 397: tag=BUTTON, id=None, class=close-icon modal-close, text=close exit intent modal
Btn 398: tag=A, id=None, class=button-cta button-cta--large button-cta--primary btn-stay modal-close maybeBtn, text=MAYBE LATER
Btn 399: tag=A, id=None, class=button-btn button-btn-primary button-btn-xl btn-proceed feedbackCta, text=GIVE FEEDBACK
Btn 400: tag=BUTTON, id=None, class=manage-button, text=Know more.
Btn 401: tag=BUTTON, id=None, class=accept-button, text=OK
Btn 402: tag=BUTTON, id=None, class=close-icon manage-close, text=Close your cookie setting Modal
Btn 403: tag=A, id=None, class=None, text=use cookies
Btn 404: tag=BUTTON, id=None, class=button-btn button-btn-primary button-btn-small confirm-cookie-settings, text=Confirm
Btn 405: tag=A, id=None, class=None, text=ICICI Bank Footer Logo
